name;@lat;@lon
Avenida de Asturias;42.8986812;-8.5261337
Avenida de Asturias;42.8985903;-8.5108202
Autovía Santiago-Lugo;42.9116537;-8.4356263
Autovía Santiago-Lugo;42.8992101;-8.5068641
Autovía Santiago-Lugo;42.9088358;-8.4553956
Avenida de Xosé Filgueira Valverde;42.8690096;-8.5755766
Rúa Retorta;43.4936192;-8.2155381
Praza de Rosalía de Castro;43.4932922;-8.2147028
Rúa Río Xubia;43.4938760;-8.2157522
Rúa Venezuela;43.4882375;-8.2216548
Rúa Río Sor;43.4926069;-8.2141839
Avenida das Pías;43.4851269;-8.1917009
Ponte das Pías;43.4839723;-8.1846506
Avenida das Pías;43.4799024;-8.1797557
Ponte das Pías;43.4839165;-8.1847108
Autoestrada do Atlántico;43.4946427;-8.1584640
Autoestrada do Atlántico;43.4954708;-8.1594594
Autoestrada do Atlántico;43.4953787;-8.1595506
Autoestrada do Atlántico;43.4932568;-8.1576022
Autoestrada do Atlántico;43.4987421;-8.1665191
Autoestrada do Atlántico;43.4988364;-8.1664465
Autoestrada do Atlántico;43.5040269;-8.1858394
Avenida das Pías;43.4860838;-8.2049480
Avenida das Pías;43.4882559;-8.2233493
Autoestrada do Atlántico;43.3322964;-8.4000507
Avenida Alcalde Alfonso Molina;43.3382134;-8.4052959
Avenida Alcalde Alfonso Molina;43.3382733;-8.4051474
Avenida Alcalde Alfonso Molina;43.3379379;-8.4051049
Autoestrada do Atlántico;43.2925671;-8.2982963
Autoestrada do Atlántico;43.1924669;-8.2934832
Autoestrada do Atlántico;43.3250393;-8.2060967
Autoestrada do Atlántico;43.3176265;-8.2153781
Autoestrada do Atlántico;43.3289356;-8.2016784
Autoestrada do Atlántico;43.3250947;-8.2061661
Autoestrada do Atlántico;43.3326673;-8.1989387
Autoestrada do Atlántico;43.3341432;-8.1984492
Autoestrada do Atlántico;43.3434839;-8.2001947
A Ponte do Porco;43.3354355;-8.2012764
Autoestrada do Atlántico;43.3512873;-8.2014189
Autoestrada do Atlántico;43.3433455;-8.2003072
Autoestrada do Atlántico;43.3532290;-8.2018480
Autoestrada do Atlántico;43.3991517;-8.1645541
Autoestrada do Atlántico;43.4049258;-8.1605818
Autoestrada do Atlántico;43.4072089;-8.1595147
Autoestrada do Atlántico;43.4048948;-8.1604149
Ponte do río Eume;43.4107974;-8.1579045
Ponte do río Eume;43.4108256;-8.1580709
Autoestrada do Atlántico;43.4160586;-8.1541355
Rúa Rubalcava;43.4871956;-8.2344630
Rúa San Salvador;43.4919407;-8.2189971
Avenida de Compostela;43.4866708;-8.2295681
Rúa Terra;43.4876542;-8.2360066
Rúa Paraguai;43.4876726;-8.2186040
Rúa Sánchez Calviño;43.4874248;-8.2186942
Avenida de Santa Mariña;43.4969390;-8.2191634
Praza de España;43.4865391;-8.2287661
Grupo Santa Cristina;43.3297113;-8.3945439
Rúa Londres;43.3283311;-8.4011871
Rúa Lisboa;43.3296666;-8.4062000
Rúa da Fraga;43.3270494;-8.4098423
Campus de Elviña;43.3302817;-8.4125102
Autoestrada do Atlántico;43.3284469;-8.3968216
Autopista do Atlántico;43.3293023;-8.3969490
Autoestrada do Atlántico;43.3269994;-8.3956560
Autoestrada do Atlántico;43.3284460;-8.3966237
Rúa Arce;43.4820645;-8.2382449
Rúa Real;43.4821040;-8.2376353
Rúa da Coruña;43.4846910;-8.2363873
Rúa Costa de Mella;43.4796990;-8.2407446
Rúa Pintor Imeldo Corral;43.4811054;-8.2413464
